Player,pos,Team,FPTS,avg,,,,,,,,,,ATT,CMP,YDS,TDS,INTS,ATT,YDS,TDS,FL
Alvin Kamara,RB,NO,131.4,7.73,,,,,,,,,,127.9,491.9,2.8,35.1,242.8,1.3,,,
Jalen Nailor,WR,LV,130.2,7.66,,,,,,,,,,43.6,589.9,4.5,2,8.5,0,0.2,,
Kenyon Sadiq,TE,NYJ,130,7.65,,,,,,,,,,51.1,558.1,4.1,0.7,,,,,
Cam Little,K,JAX,129.9,7.64,,,,,,,,,,28.8,32.5,43.5,,,,,,
Will Reichard,K,MIN,129.7,7.63,,,,,,,,,,30.6,33.8,38,,,,,,
Cade Otton,TE,TB,128.9,7.58,,,,,,,,,,54.9,556.9,3.1,0.1,,,,,
Evan McPherson,K,CIN,128.7,7.57,,,,,,,,,,27.7,32.1,45.7,,,,,,
Nick Folk,K,ATL,128.6,7.56,,,,,,,,,,30,32.8,38.6,,,,,,
Wil Lutz,K,DEN,128.4,7.55,,,,,,,,,,29,33.7,41.4,,,,,,
Chig Okonkwo,TE,WAS,126.5,7.44,,,,,,,,,,53.8,566.1,2.7,0.1,,,,,
Denzel Boston,WR,CLE,126.2,7.42,,,,,,,,,,48.8,611.1,2.9,1,5,0,0.8,,
Antonio Williams,WR,WAS,125.6,7.39,,,,,,,,,,44.2,598.5,3.6,3.5,18.7,0.1,1.2,,
Trey Smack,K,GB,125.4,7.38,,,,,,,,,,28.6,34.1,39.7,,,,,,
Cooper Kupp,WR,SEA,125.1,7.36,,,,,,,,,,47.4,583.9,3.4,0.5,1.5,0,0.7,,
Adonai Mitchell,WR,NYJ,124.5,7.32,,,,,,,,,,41.5,610.8,3.5,2.2,11.2,0.1,0.5,,
Woody Marks,RB,HOU,124.3,7.31,,,,,,,,,,142.6,555.4,2.7,24,197.7,1.8,,,
AJ Barner,TE,SEA,124.3,7.31,,,,,,,,,,48.6,469.6,4.9,0.2,,,,,
Tyler Bass,K,BUF,123.5,7.26,,,,,,,,,,25.6,30.5,46.7,,,,,,
Zach Charbonnet,RB,SEA,123,7.24,,,,,,,,,,130.5,532.7,5.6,19.8,147,0.5,,,
Charlie Smyth,K,NO,122.9,7.23,,,,,,,,,,29.5,35,34.3,,,,,,
Andy Borregales,K,NE,121.3,7.14,,,,,,,,,,26.1,31.2,43,,,,,,
Jake Moody,K,WAS,121.4,7.14,,,,,,,,,,27.6,33.8,38.6,,,,,,
Houston Texans,DST,HOU,120.5,7.09,,,,,,,,,,48.9,14.8,11.6,18.3,2.8,1,322,"5,064.60",
Omar Cooper Jr.,WR,NYJ,120.4,7.08,,,,,,,,,,46.3,550.4,3.3,2.1,12.5,0.1,1.2,,
Jake Elliott,K,PHI,119.8,7.05,,,,,,,,,,26,31.8,41.7,,,,,,
Tyrone Tracy Jr.,RB,NYG,119.6,7.04,,,,,,,,,,122.8,521.5,2.5,26.3,203.3,1.2,,,
Oronde Gadsden II,TE,LAC,118.8,6.99,,,,,,,,,,44.2,550.2,3.5,0.7,,,,,
Denver Broncos,DST,DEN,118.2,6.95,,,,,,,,,,59.7,13.3,8.3,12.3,2.4,0.5,318.9,"4,844.40",
Chris Boswell,K,PIT,118.2,6.95,,,,,,,,,,28.1,32.4,33.9,,,,,,
Germie Bernard,WR,PIT,118.1,6.95,,,,,,,,,,44.6,550.8,3.1,2.1,10.8,0,0.8,,
Jason Sanders,K,NYJ,117.5,6.91,,,,,,,,,,28.7,32.7,31.4,,,,,,
Evan Engram,TE,DEN,116.7,6.86,,,,,,,,,,53.4,471.8,2.7,0.1,,,,,
Justice Hill,RB,BAL,116.1,6.83,,,,,,,,,,56.4,273.6,2.2,34.7,303.1,1.8,,,
Isiah Pacheco,RB,DET,115.9,6.82,,,,,,,,,,139.2,581.4,3.5,21.1,136.2,0.6,,,
Zane Gonzalez,K,MIA,115.4,6.79,,,,,,,,,,28.3,32.6,30.5,,,,,,
Mike Gesicki,TE,CIN,113.1,6.65,,,,,,,,,,44,461.2,3.9,0.1,,,,,
Terrance Ferguson,TE,LAR,112.8,6.64,,,,,,,,,,36.3,500.4,4.5,0.2,,,,,
Pittsburgh Steelers,DST,PIT,112.8,6.64,,,,,,,,,,46,13.3,12.8,18.8,2.4,0,347.4,"5,453.10",
Minnesota Vikings,DST,MIN,112.7,6.63,,,,,,,,,,49.1,12.6,12.1,18.1,2.4,0,361.4,"5,299.60",
Travis Hunter,WR,JAX,111.7,6.57,,,,,,,,,,41.6,496.2,3.3,2,10.8,0.1,0.4,,
Chad Ryland,K,ARI,111.7,6.57,,,,,,,,,,26.6,33.1,31.8,,,,,,
Xavier Legette,WR,CAR,111.6,6.56,,,,,,,,,,41.7,500.5,3.2,2.1,10.8,0.1,0.4,,
Seattle Seahawks,DST,SEA,110.7,6.51,,,,,,,,,,46.3,13.6,8.4,13.6,3.2,0.5,314,"5,123.70",
Matt Gay,K,LV,108.1,6.36,,,,,,,,,,25.8,32.5,30.6,,,,,,
Deshaun Watson,QB,CLE,107.9,6.35,,,,,,,,,,244.4,151.8,"1,637.50",7.8,6,36,160,1,2.3
De'Zhaun Stribling,WR,SF,107.8,6.34,,,,,,,,,,37.6,525.2,3.1,1.5,6.5,0,0.7,,
Dylan Sampson,RB,CLE,107.8,6.34,,,,,,,,,,73.5,253.8,1.3,35.9,284.2,2.1,,,
Los Angeles Chargers,DST,LAC,107.7,6.34,,,,,,,,,,48.6,15.3,8.3,12.6,2,0,366.6,"5,471.50",
Buffalo Bills,DST,BUF,107.6,6.33,,,,,,,,,,42.8,14.9,9.6,13.2,2.5,0.5,393.3,"5,737.40",
Detroit Lions,DST,DET,107.3,6.31,,,,,,,,,,48,13.4,9.3,13.9,2.1,0.5,374.9,"5,461.40",
Los Angeles Rams,DST,LAR,107.1,6.30,,,,,,,,,,46.3,13.4,9.5,14.5,2.3,0.5,347.2,"5,242.00",
Malik Washington,WR,MIA,107,6.29,,,,,,,,,,43.5,390,2.3,13.4,80.2,0.7,0.8,,
Ryan Fitzgerald,K,CAR,107,6.29,,,,,,,,,,25.5,29.8,30.4,,,,,,
